id,type,projects,tasks,requirements,offers,weeks,persons,model_size,mappings,vars,constraints,is_optimal,solved_ratio,project_ratio,total_time_avg,build_time_avg,pm_time_avg,build_gips_time_avg,build_solver_time_avg,solve_time_avg,apply_time_avg,pm_time_max,build_time_max,build_gips_time_max,build_solver_time_max,solve_time_max,apply_time_max,pm_time_min,build_time_min,build_gips_time_min,build_solver_time_min,solve_time_min,apply_time_min,pm_memory_avg,build_memory_avg,build_gips_memory_avg,build_solver_memory_avg,solve_memory_avg,apply_memory_avg,pm_memory_max,build_memory_max,build_gips_memory_max,build_solver_memory_max,solve_memory_max,apply_memory_max,pm_memory_min,build_memory_min,build_gips_memory_min,build_solver_memory_min,solve_memory_min,apply_memory_min
INC-G-inc-1,INC-G,1,10,150,13618,376,74,14435,1401,12602,17623,true,1.0,1.0,5.815259042899999,3.6428589506,0.07284705349999998,3.5096771493,0.058198294199999986,0.1910025319,1.9085505068999997,0.501629983,4.327876307,3.722380538,0.103478566,0.265878621,3.787645342,0.012052163,3.501478268,3.441360912,0.037664092,0.159009838,0.448632884,679,682,657,682,720,745,928,869,850,869,904,928,196,360,330,360,397,425
INC-G-inc-2,INC-G,2,20,300,27498,376,154,28756,1668,15005,21038,true,1.0,1.0,14.190996286950002,11.728651188250002,0.06079617260000001,11.6163908368,0.05031108900000001,0.17790408565000004,2.22364484045,0.709553665,12.773752802,12.3018754,0.115881887,0.289544679,5.586268269,0.009912193,8.441244543,8.405622679,0.020380071,0.132159218,0.52062709,1218,1366,1343,1366,1403,1358,1781,1841,1832,1841,1876,1841,394,485,471,485,521,473
INC-G-inc-3,INC-G,3,30,450,41296,376,227,43002,1633,14690,20549,true,1.0,1.0,20.19775930386666,17.699836737366663,0.0665095158,17.57607549263333,0.056421625,0.1854252323333333,2.2459878183666664,1.093930693,20.454505374,20.35920967,0.117735721,0.285417982,5.763295428,0.005699981,5.133269985,5.114240981,0.013228349,0.123223104,0.261439475,820,879,854,879,889,864,1210,1222,1195,1222,1229,1236,475,512,489,512,495,486
INC-G-inc-4,INC-G,4,40,600,54850,376,299,57000,1997,17966,25187,true,1.0,1.0,24.010830776075,21.402248613325,0.06994268019999998,21.283808946774997,0.04785390482499999,0.173588587125,2.365050895424999,1.378094058,27.069605844,25.554517784,0.136580519,0.33521839,6.167472208,0.002804882,3.769282907,3.759060659,0.007336393,0.115601446,0.32606566,2346,2369,2346,2369,2325,2349,3856,3969,3969,3969,3834,3855,711,848,798,848,867,917
INC-G-inc-5,INC-G,5,50,750,68633,376,383,71228,1824,16409,22947,true,1.0,1.0,25.75497642986,23.0211374422,0.07455016582000003,22.895385524640005,0.050668172239999996,0.17789170478000002,2.48139711706,1.671327343,26.227538092,24.42743338,0.128272078,0.305224304,7.133664977,0.005107886,9.705866809,9.689800523,0.010922247,0.116403335,0.342952527,2445,2481,2586,2481,2451,2479,4082,4292,4280,4292,4062,4082,814,835,986,835,871,952
INC-G-inc-6,INC-G,6,60,900,82558,376,462,85602,2106,18947,26458,true,1.0,1.0,24.15713389923333,21.14717513428333,0.07287613936666665,21.020154433883338,0.05380773073333333,0.18026323545000003,2.756819390133332,1.897661831,25.614657121,23.570392865,0.146121718,0.359208599,9.312333993,0.011910093,16.139676048,16.105739194,0.018949604,0.127169255,0.26675042,4620,4625,4718,4625,4661,4690,8187,8112,8188,8112,8154,8186,951,1070,1280,1070,1112,1251
INC-G-inc-7,INC-G,7,70,1050,96317,376,537,99788,1880,16913,23690,true,1.0,1.0,44.930514543014276,41.83226860034285,0.08270253672857142,41.701286047128555,0.04799829011428572,0.17102955707142858,2.8445138488714297,2.121170973,49.516842249,48.031436673,0.131361607,0.326249501,9.443301444,0.007199802,11.502820924,11.47393071,0.011720158,0.116498611,0.584549661,4541,4557,4534,4557,4594,4617,8035,7978,7959,7978,8013,8034,1007,1262,1238,1262,1294,1321
