id,type,projects,tasks,requirements,offers,weeks,persons,model_size,mappings,vars,constraints,is_optimal,solved_ratio,project_ratio,total_time_avg,build_time_avg,pm_time_avg,build_gips_time_avg,build_solver_time_avg,solve_time_avg,apply_time_avg,pm_time_max,build_time_max,build_gips_time_max,build_solver_time_max,solve_time_max,apply_time_max,pm_time_min,build_time_min,build_gips_time_min,build_solver_time_min,solve_time_min,apply_time_min,pm_memory_avg,build_memory_avg,build_gips_memory_avg,build_solver_memory_avg,solve_memory_avg,apply_memory_avg,pm_memory_max,build_memory_max,build_gips_memory_max,build_solver_memory_max,solve_memory_max,apply_memory_max,pm_memory_min,build_memory_min,build_gips_memory_min,build_solver_memory_min,solve_memory_min,apply_memory_min
BATCH-A-inc-4,BATCH-A,4,40,600,54850,376,299,57000,40907,390695,539067,true,1.0,1.0,176.04181945500002,28.049704719,1.721913136,23.445479648,2.881810198,114.562084021,31.708117579,1.721913136,28.049704719,23.445479648,2.881810198,114.562084021,31.708117579,1.721913136,28.049704719,23.445479648,2.881810198,114.562084021,31.708117579,830,1896,2310,1896,1964,3321,830,1896,2310,1896,1964,3321,830,1896,2310,1896,1964,3321
INC-F-inc-4,INC-F,4,40,600,54850,376,299,57000,13739,129284,179251,true,1.0,1.0,54.77799252375,17.8196160525,0.43678835,16.71333936025,0.6648626687499999,9.651490912749999,26.8700972085,1.504541126,19.30852094,16.912174902,0.936222157,19.203992504,41.987398486,0.048601429,16.91756821,16.34405479,0.524106247,5.268145843,19.3395292,1833,2705,2362,2705,2751,2478,3290,3430,3002,3430,3476,3361,736,1649,1333,1649,1690,1175
BATCH-A-batch-5,BATCH-A,5,30,150,1848,76,86,2400,1590,17695,25384,true,1.0,1.0,4.756625207,3.048216609,0.178745531,2.72400531,0.145099497,0.427236189,1.102426878,0.178745531,3.048216609,2.72400531,0.145099497,0.427236189,1.102426878,0.178745531,3.048216609,2.72400531,0.145099497,0.427236189,1.102426878,257,384,323,384,422,607,257,384,323,384,422,607,257,384,323,384,422,607
BATCH-B-batch-5,BATCH-B,5,30,150,1848,76,86,2400,1590,17695,28554,true,1.0,1.0,4.955679698000001,3.219517659,0.177386749,2.891579684,0.150188154,0.412720037,1.146055253,0.177386749,3.219517659,2.891579684,0.150188154,0.412720037,1.146055253,0.177386749,3.219517659,2.891579684,0.150188154,0.412720037,1.146055253,237,376,309,376,411,597,237,376,309,376,411,597,237,376,309,376,411,597
BATCH-C-batch-5,BATCH-C,5,30,150,1848,76,86,2400,2254,23671,40099,true,1.0,1.0,6.275124539,4.316330973,0.192133317,3.937336913,0.186505732,0.460515453,1.306144796,0.192133317,4.316330973,3.937336913,0.186505732,0.460515453,1.306144796,0.192133317,4.316330973,3.937336913,0.186505732,0.460515453,1.306144796,255,516,438,516,553,129,255,516,438,516,553,129,255,516,438,516,553,129
BATCH-D-batch-5,BATCH-D,5,30,150,1848,76,86,2400,144155,1300780,2312764,true,1.0,1.0,55.97434432,19.381772594,1.34365402,8.16170038,9.875889798,8.085740741,27.163176965,1.34365402,19.381772594,8.16170038,9.875889798,8.085740741,27.163176965,1.34365402,19.381772594,8.16170038,9.875889798,8.085740741,27.163176965,531,4277,4081,4277,4411,10990,531,4277,4081,4277,4411,10990,531,4277,4081,4277,4411,10990
BATCH-E-batch-5,BATCH-E,5,30,150,1848,76,86,2400,544055,4899880,8712513,true,1.0,1.0,254.732382804,96.900986968,3.258140409,54.511190631,39.131128651,32.880976908,121.692278519,3.258140409,96.900986968,54.511190631,39.131128651,32.880976908,121.692278519,3.258140409,96.900986968,54.511190631,39.131128651,32.880976908,121.692278519,1853,16092,10737,16092,12005,23474,1853,16092,10737,16092,12005,23474,1853,16092,10737,16092,12005,23474
BATCH-A-inc-5,BATCH-A,5,50,750,68633,376,383,71228,49476,473449,653962,true,1.0,1.0,223.639085385,35.762996333,1.938336971,30.240474186,3.58369107,134.427513722,51.510238359,1.938336971,35.762996333,30.240474186,3.58369107,134.427513722,51.510238359,1.938336971,35.762996333,30.240474186,3.58369107,134.427513722,51.510238359,956,2192,2276,2192,2271,4964,956,2192,2276,2192,2271,4964,956,2192,2276,2192,2271,4964
INC-F-inc-5,INC-F,5,50,750,68633,376,383,71228,13987,131516,182765,true,1.0,1.0,70.8979538888,27.2839424334,0.4145841264,26.210569347,0.6544301272000002,14.610289121,28.589138207999998,1.724392236,28.151403543,27.594502416,0.952989748,41.49752258,47.126627818,0.054380729,26.912135611,24.251941571,0.502319521,6.004507127,16.662917225,3009,3065,2722,3065,3109,3550,3973,3524,3220,3524,3565,3960,859,2108,1648,2108,2154,2747
BATCH-A-batch-6,BATCH-A,6,36,180,2149,76,103,2797,1911,21261,30474,true,1.0,1.0,5.7097434719999995,3.712963856,0.201843908,3.350893852,0.159848204,0.507485232,1.287450476,0.201843908,3.712963856,3.350893852,0.159848204,0.507485232,1.287450476,0.201843908,3.712963856,3.350893852,0.159848204,0.507485232,1.287450476,263,377,310,377,414,659,263,377,310,377,414,659,263,377,310,377,414,659
